date,BAEL_close,BP_close,CVX_close,FRO_close,HAFNI_close,INSW_close,LDO_close,LMT_close,NAT_close,NOC_close,RHM_close,RTX_close,SPY_close,STNG_close,TK_close,XOM_close,BAEL_log_ret,BP_log_ret,CVX_log_ret,FRO_log_ret,HAFNI_log_ret,INSW_log_ret,LDO_log_ret,LMT_log_ret,NAT_log_ret,NOC_log_ret,RHM_log_ret,RTX_log_ret,SPY_log_ret,STNG_log_ret,TK_log_ret,XOM_log_ret
2025-11-03,1863.5,33.95321273803711,150.86280822753906,23.494709014892578,63.69683837890625,48.08979797363281,52.08000183105469,481.7245788574219,3.5203909873962402,571.2576293945312,1773.5,175.75926208496094,679.4711303710938,61.26775360107422,9.640000343322754,112.02691650390625,,,,,,,,,,,,,,,,
2025-11-04,1850.0,34.19663619995117,150.22622680664062,22.564228057861328,62.18404006958008,46.926185607910156,51.02000045776367,478.80230712890625,3.4137122631073,572.9751586914062,1729.0,174.33961486816406,671.4169921875,60.392784118652344,9.449999809265137,112.40113067626953,-0.007270800846942573,0.007143801518094924,-0.00422853239645873,-0.040409424515628005,-0.024036552063223936,-0.024494206103260596,-0.020563311372908295,-0.006084745335831552,-0.03077172004256244,0.0030020649725809737,-0.025411788530386052,-0.008110023147095496,-0.011924353295924664,-0.014384032566852377,-0.01990642291477936,0.003334828457231913
2025-11-05,1848.5,34.74191665649414,149.5112762451172,22.612689971923828,62.08451461791992,47.8227424621582,50.5,467.1131286621094,3.462202548980713,566.383056640625,1707.0,172.7412567138672,673.7437133789062,60.949581146240234,9.699999809265137,111.94813537597656,-0.0008111396956838905,0.01581964824566852,-0.004770520272834116,0.002145428894427213,-0.0016017804856556428,0.018925461903657636,-0.010244385404590916,-0.02471631837584695,0.014104622027918949,-0.01157173489698573,-0.012805762888849914,-0.009210357494763722,0.003459398571762206,0.009177354246091937,0.026111144523881125,-0.004038309764792175
2025-11-06,1811.0,34.87823486328125,149.78550720214844,22.990697860717773,62.920536041259766,49.949676513671875,49.630001068115234,462.9468994140625,3.4815986156463623,567.83251953125,1708.0,173.8332977294922,666.514892578125,62.838722229003906,9.75,112.7556381225586,-0.02049532049327318,0.003916061026029781,0.0018325023784962712,0.016578441405752625,0.013376001750232534,0.04351471879544639,-0.017377825160400626,-0.008959114442854542,0.005586599227672055,0.002555887452323182,0.0005856515540746671,0.006301931955263213,-0.010787307565268271,0.030524495644458895,0.005141419163806849,0.00718729561251838
2025-11-07,1807.0,35.618255615234375,151.82261657714844,22.93254280090332,62.661766052246094,50.84623718261719,50.52000045776367,452.5115051269531,3.4525043964385986,564.5066528320312,1708.0,175.6897735595703,667.1710815429688,63.60432052612305,9.729999542236328,115.4342041015625,-0.0022111672911849334,0.020995312826326266,0.013508524419448822,-0.0025327084963277747,-0.004121127753496444,0.017790092510450897,0.017773795422415455,-0.022799170906797082,-0.00839168091162799,-0.005874346387471082,0.0,0.010623008555888566,0.0009840232716329205,0.012109921379235476,-0.0020534358584693275,0.0234777235306416
2025-11-10,1822.0,36.1440544128418,152.43960571289062,23.3590145111084,63.079776763916016,51.15144729614258,50.79999923706055,446.34112548828125,3.5397870540618896,558.9172973632812,1787.0,177.73486328125,677.5818481445312,64.15116882324219,9.859999656677246,116.4189682006836,0.008266787227675204,0.01465416056788773,0.004055646322427719,0.018425985259449527,0.006648753342544531,0.0059846657508103186,0.005527033022613976,-0.013729673489517296,0.02496669140877129,-0.009950654135711815,0.045215140810912866,0.011573118195828493,0.015483847432383142,0.008560910215895176,0.013272284643505099,0.008494772887046862
2025-11-11,1799.0,36.368003845214844,153.01744079589844,23.3590145111084,64.11485290527344,50.70316696166992,49.95000076293945,451.247802734375,3.5203909873962402,562.650146484375,1731.5,177.92349243164062,679.1329956054688,62.242149353027344,9.800000190734863,117.9552001953125,-0.01270384386937057,0.006176907670344517,0.0037834175304508008,0.0,0.016275828523236058,-0.008802413758572984,-0.016873819197317442,0.010933125326372077,-0.0054945117101717475,0.00665651080518916,-0.03155015131695135,0.0010607323857127387,0.0022866236688574054,-0.030209898474450433,-0.006103728655524326,0.013109413943218164
2025-11-12,1792.0,35.890892028808594,150.1576690673828,24.115032196044922,64.39351654052734,51.06560516357422,50.18000030517578,451.21820068359375,3.559183120727539,554.5391235351562,1745.0,176.40455627441406,679.5109252929688,62.659751892089844,9.949999809265137,116.32048797607422,-0.003898640415657309,-0.01320581346786444,-0.01886603786103313,0.03185241857888054,0.004336901529930293,0.007122808434739761,0.004594026651272543,-6.56025837643531e-05,0.010958998657696622,-0.014520664821298185,0.007766470794050938,-0.008573667635008969,0.0005563336963194146,0.006686913345324598,0.015190126861900974,-0.013955684121077429
2025-11-13,1806.5,35.53062057495117,152.3710479736328,24.279804229736328,64.95087432861328,51.11329650878906,51.36000061035156,450.0433654785156,3.5882773399353027,553.9732666015625,1745.0,172.7015380859375,668.235107421875,61.406951904296875,10.029999732971191,116.98028564453125,0.00805895705281907,-0.010088683268284436,0.014632782114071692,0.006809514508564546,0.00861825138476262,0.0009334872052342515,0.02324312424559972,-0.002607091913438895,0.00814117967126599,-0.0010209303707886985,0.0,-0.021215081231895232,-0.016733243059015003,-0.020196273985342558,0.008008043349663842,0.00565621294158764
2025-11-14,1807.0,36.062721252441406,154.3689727783203,24.696584701538086,64.23428344726562,51.48527145385742,50.459999084472656,459.83697509765625,3.607673406600952,553.9732666015625,1727.0,174.29989624023438,668.1256713867188,61.496437072753906,10.050000190734863,118.50015258789062,0.0002767400045336037,0.014864803394419398,0.01302701260960614,0.017020059747694407,-0.011094126345196208,0.0072511065656884624,-0.01767874619621182,0.021528078854978216,0.005390841133163331,0.0,-0.01036875648984896,0.009212466004413604,-0.00016378217190490574,0.0014561874170350643,0.0019920781328459803,0.01290882640032696
2025-11-17,1805.0,36.03310775756836,151.62673950195312,24.522117614746094,66.0854721069336,51.122833251953125,51.08000183105469,464.7831726074219,3.704653739929199,558.9669799804688,1723.0,174.35946655273438,661.901123046875,61.21803665161133,10.170000076293945,116.90081024169922,-0.0011074198252472003,-0.000821503738707847,-0.017923824294715257,-0.007089492787101526,0.028411857873796603,-0.007064543494217697,0.012212141941854684,0.010698976663600125,0.026526718003142293,0.008973971256902118,-0.00231884161874901,0.0003417106748688709,-0.009360102835536118,-0.00453737673039517,0.011869564078653519,-0.013588448715161084
2025-11-18,1805.0,36.22067642211914,152.1317901611328,24.97766876220703,64.59257507324219,52.15291976928711,50.15999984741211,468.6729736328125,3.782238245010376,562.6700439453125,1716.0,173.45603942871094,656.3427734375,61.92397689819336,10.489999771118164,118.24187469482422,0.0,0.005191951896431244,0.0033253461237180136,0.018406706077707214,-0.022849468883003855,0.019948935700350386,-0.01817517372849883,0.008334239495557182,0.020726165830687586,0.006602987134225811,-0.004070956480022029,-0.00519487567516871,-0.008433010863377237,0.011465590983565154,0.030980183026824048,0.011406512550304483
